105,"World's Greatest Short Stories, The",,fiction
106,Talking Straight,"Iacoca, Lee",
107,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction
108,"Phantom of Manhattan, The","Forsyth, Frederick",
109,Ashenden of The British Agent,"Maugham, William S",fiction
110,Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy
111,"Great War for Civilization, The","Fisk, Robert",history
112,We the Living,"Rand, Ayn",fiction
113,"Artist and the Mathematician, The","Aczel, Amir",science
114,History of Western Philosophy,"Russell, Bertrand",philosophy
115,Selected Short Stories,,fiction
116,Rationality & Freedom,"Sen, Amartya",economics
117,Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history
118,Uncommon Wisdom,"Capra, Fritjof",nonfiction
119,One,"Bach, Richard",nonfiction
120,Karl Marx Biography,,
121,To Sir With Love,Braithwaite,fiction
122,Half A Life,"Naipaul, V S",
123,"Discovery of India, The","Nehru, Jawaharlal",
124,Apulki,"Deshpande, P L",
125,Unpopular Essays,"Russell, Bertrand",
126,"Deceiver, The","Forsyth, Frederick",
127,Veil: Secret Wars of the CIA,"Woodward, Bob",
128,Char Shabda,"Deshpande, P L",
129,Rosy is My Relative,"Durrell, Gerald",
130,"Moon and Sixpence, The","Maugham, William S",
131,Political Philosophers,,
132,"Short History of the World, A","Wells, H G",
133,"Trembling of a Leaf, The","Maugham, William S",
134,Doctor on the Brain,"Gordon, Richard",
135,Simpsons & Their Mathematical Secrets,"Singh, Simon",
136,Pattern Classification,"Duda, Hart",
137,From Beirut to Jerusalem,"Friedman, Thomas",
138,"Code Book, The","Singh, Simon",
139,"Age of the Warrior, The","Fisk, Robert",
140,Final Crisis,,
141,"Killing Joke, The",,
142,Flashpoint,,
143,Batman Earth One,,
144,Crisis on Infinite Earths,,
145,"Numbers Behind Numb3rs, The","Devlin, Keith",
146,Superman Earth One - 1,,
147,Superman Earth One - 2,,
148,Justice League: Throne of Atlantis,,
149,Justice League: The Villain's Journey,,
150,"Death of Superman, The",,
151,History of the DC Universe,,
152,Batman: The Long Halloween,,
153,"Life in Letters, A","Steinbeck, John",
154,"Information, The","Gleick, James",
155,"Journal of Economics, vol 106 No 3",,
156,Elements of Information Theory,"Thomas, Joy",
157,Power Electronics - Rashid,"Rashid, Muhammad",
158,Power Electronics - Mohan,"Mohan, Ned",
159,Neural Networks,"Haykin, Simon",
160,"Grapes of Wrath, The","Steinbeck, John",
161,Vyakti ani Valli,"Deshpande, P L",
162,Statistical Learning Theory,"Vapnik, Vladimir",
163,Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",
164,Empire of the Mughal - Brothers at War,"Rutherford, Alex",
165,Empire of the Mughal - Ruler of the World,"Rutherford, Alex",
166,Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",
167,Empire of the Mughal - Raiders from the North,"Rutherford, Alex",
168,Mossad,"Baz-Zohar, Michael",
169,Jim Corbett Omnibus,"Corbett, Jim",
170,20000 Leagues Under the Sea,"Verne, Jules",
171,Batatyachi Chal,Deshpande P L,
172,Hafasavnuk,Deshpande P L,
173,Urlasurla,Deshpande P L,
174,Pointers in C,"Kanetkar, Yashwant",
175,"Cathedral and the Bazaar, The","Raymond, Eric",
176,Design with OpAmps,"Franco, Sergio",
177,Think Complexity,"Downey, Allen",
178,"Devil's Advocate, The","West, Morris",
179,Ayn Rand Answers,"Rand, Ayn",
180,Philosophy: Who Needs It,"Rand, Ayn",
181,"World's Great Thinkers, The",,
182,Data Analysis with Open Source Tools,"Janert, Phillip",
183,Broca's Brain,"Sagan, Carl",
184,Men of Mathematics,"Bell, E T",
185,Oxford book of Modern Science Writing,"Dawkins, Richard",
